date,open,high,low,close,volume
23/10/2015,97.61,101.56,97.27,100.04,18019886
26/10/2015,100.05,103.31,99.38,103.04,12234824
27/10/2015,102.58,104.72,101.23,103.07,12066402
28/10/2015,102.9,106.21,102.06,105.8,13093962
29/10/2015,105,106.91,104.75,105.12,9841406
30/10/2015,105.12,110.1,104.9,108.38,15571468
02/11/2015,109.2,109.37,106.3,107.64,11784573
03/11/2015,107.36,111.05,107.24,109.74,12484136
04/11/2015,110.36,114.28,109.39,114.05,17505023
05/11/2015,113.75,115.68,111.72,113.5,13814939
06/11/2015,113.39,114.8,112.05,114.06,10936608
09/11/2015,113.36,114,108.64,109.86,16154632
10/11/2015,108.86,112.84,108.01,112.7,11166372
11/11/2015,113.08,114.61,111.41,112.86,11039154
12/11/2015,112.52,115.25,108.2,108.92,17568163
13/11/2015,108.34,109.07,103.27,103.65,18819418
16/11/2015,102.97,111.65,101.86,111.35,19866161
17/11/2015,112.11,118.79,111.7,117.1,33016302
18/11/2015,117.94,121,116.1,120.63,23353565
19/11/2015,120.25,123.13,119.61,120.22,19253236
20/11/2015,120.85,124.07,119.21,123.84,17977001
23/11/2015,124.3,126.2,121.66,125.03,15726984
24/11/2015,123.67,124.66,120.03,123.31,18335255
25/11/2015,124.23,125.2,122.36,124.16,10980677
27/11/2015,123.85,126.39,123.59,125.44,6645484
30/11/2015,126.03,126.6,122.89,123.33,13894031
01/12/2015,124.47,125.57,122.42,125.37,12550755
02/12/2015,125.53,131.35,124.93,128.93,24105712
03/12/2015,129.62,132.2,126.39,126.81,26647260
04/12/2015,127,130.99,125.75,130.93,20250411
07/12/2015,131.19,133.27,122.75,125.36,23351610
08/12/2015,121.51,128.24,121.1,126.98,18591147
09/12/2015,127.7,128.78,122.33,124.2,17788797
10/12/2015,124.5,125.21,121.62,122.91,13474119
11/12/2015,121.45,123,118.6,118.91,16105315
14/12/2015,119.77,120.9,114.66,120.67,18735608
15/12/2015,121.93,123.3,118.54,118.6,11759993
16/12/2015,119.8,123,118.09,122.64,13180982
17/12/2015,123.97,126.35,122.42,122.51,17284872
18/12/2015,120.85,122.19,117.92,118.02,17948060
21/12/2015,119.51,119.59,115.66,116.63,11669993
22/12/2015,117.3,117.43,114.86,116.24,9689044
23/12/2015,116.91,118.56,115.78,118.16,9324333
24/12/2015,118.22,118.8,117.3,117.33,3541403
28/12/2015,117.26,117.35,113.85,117.11,8424276
29/12/2015,118.19,119.6,116.92,119.12,8159211
30/12/2015,118.95,119.02,116.43,116.71,8149686
31/12/2015,116.21,117.46,114.28,114.38,9273008
04/01/2016,109,110,105.21,109.96,20794848
05/01/2016,110.45,110.58,105.85,107.66,17664562
06/01/2016,105.29,117.91,104.96,117.68,33045656
07/01/2016,116.36,122.18,112.29,114.56,33636661
08/01/2016,116.33,117.72,111.1,111.39,18067140
11/01/2016,112.13,116.79,111.2,114.97,21920390
12/01/2016,116.11,117.78,115.08,116.58,15133522
13/01/2016,114.43,114.48,104.53,106.56,24921587
14/01/2016,105.65,109.25,101.21,107.06,23664784
15/01/2016,102.43,105.5,101.72,104.04,19775141
19/01/2016,106.57,110.14,105.55,107.89,35722752
20/01/2016,108.91,109.99,97.0501,107.74,53009419
21/01/2016,108.32,108.51,102.1,102.35,31027503
22/01/2016,104.7225,104.99,99.22,100.72,26821771
25/01/2016,99.78,102.68,99,99.12,20321102
26/01/2016,99.74,100.55,94.85,97.83,22083897
27/01/2016,96.61,97.8495,90.59,91.15,25556187
28/01/2016,93.84,95.25,90.11,94.41,24562311
29/01/2016,92,94.39,90.63,91.84,20463895
01/02/2016,91.79,97.18,91.3,94.09,19684477
02/02/2016,95.54,96.65,90.73,91.49,21906495
03/02/2016,92.41,92.69,86.14,90.74,27466034
04/02/2016,89.5,91.25,86.54,89.71,19108600
05/02/2016,88.23,88.95,81.86,82.79,25929257
08/02/2016,80.57,84.7,79.95,83.32,25035634
09/02/2016,81.75,88.4,81.55,86.13,25892874
10/02/2016,89,92.21,87.42,88.45,23146517
